"country","variable","region"
"Mauritius",66,"Africa"
"Algeria",62,"Africa"
"Nicaragua",60,"Central America and the Caribbean"
"Colombia",59,"South America"
"Libya",59,"Africa"
"Paraguay",58,"South America"
"Saint Vincent and the Grenadines",56,"Central America and the Caribbean"
"Ecuador",55,"South America"
"Trinidad and Tobago",54,"Central America and the Caribbean"
"Peru",51,"South America"
"Grenada",48,"Central America and the Caribbean"
"Vietnam",48,"East and Southeast Asia"
"Bhutan",47,"South Asia"
"Honduras",47,"Central America and the Caribbean"
"Saint Lucia",44,"Central America and the Caribbean"
"Kyrgyzstan",42,"Central Asia"
"Mexico",42,"North America"
"Seychelles",42,"Africa"
"Mongolia",41,"East and Southeast Asia"
"Cabo Verde",40,"Africa"
"El Salvador",39,"Central America and the Caribbean"
"Panama",37,"Central America and the Caribbean"
"Dominica",36,"Central America and the Caribbean"
"Tunisia",36,"Africa"
"Brunei",36,"East and Southeast Asia"
"Antigua and Barbuda",35,"Central America and the Caribbean"
"Cuba",35,"Central America and the Caribbean"
"Barbados",35,"Central America and the Caribbean"
"Thailand",34,"East and Southeast Asia"
"Argentina",33,"South America"
"Maldives",32,"South Asia"
"Jordan",31,"Middle East"
"Fiji",30,"Australia and Oceania"
"Uzbekistan",26,"Central Asia"
"Malaysia",26,"East and Southeast Asia"
"Costa Rica",24,"Central America and the Caribbean"
"Georgia",20,"Central Asia"
"Syria",20,"Middle East"
"Latvia",19,"Europe"
"Moldova",19,"Europe"
"Armenia",19,"Central Asia"
"Sri Lanka",18,"South Asia"
"Azerbaijan",18,"Central Asia"
"Egypt",17,"Africa"
"Bahrain",17,"Middle East"
"United States",17,"North America"
"China",16,"East and Southeast Asia"
"West Bank",16,"Middle East"
"Gaza Strip",16,"Middle East"
"Iran",16,"Middle East"
"Turkey (Turkiye)",15,"Middle East"
"Uruguay",15,"South America"
"Portugal",15,"Europe"
"Ukraine",15,"Europe"
"Lebanon",15,"Middle East"
"Cyprus",14,"Europe"
"Tajikistan",14,"Central Asia"
"Oman",13,"Middle East"
"Canada",12,"North America"
"Romania",12,"Europe"
"Luxembourg",12,"Europe"
"Hungary",12,"Europe"
"Andorra",11,"Europe"
"Serbia",11,"Europe"
"Puerto Rico",11,"Central America and the Caribbean"
"Chile",10,"South America"
"Kazakhstan",10,"Central Asia"
"Russia",9,"Central Asia"
"Lithuania",8,"Europe"
"Kuwait",8,"Middle East"
"United Kingdom",8,"Europe"
"Finland",8,"Europe"
"Malta",8,"Europe"
"San Marino",8,"Europe"
"France",7,"Europe"
"Albania",7,"Europe"
"New Zealand",7,"Australia and Oceania"
"Saudi Arabia",7,"Middle East"
"Italy",6,"Europe"
"Bosnia and Herzegovina",6,"Europe"
"Montenegro",6,"Europe"
"Singapore",6,"East and Southeast Asia"
"Austria",6,"Europe"
"Bulgaria",6,"Europe"
"Turkmenistan",5,"Central Asia"
"Estonia",5,"Europe"
"Greece",5,"Europe"
"Switzerland",5,"Europe"
"Monaco",5,"Europe"
"Ireland",4,"Europe"
"Qatar",4,"Middle East"
"Netherlands",4,"Europe"
"Belgium",4,"Europe"
"Denmark",4,"Europe"
"Korea, South",4,"East and Southeast Asia"
"Sweden",4,"Europe"
"Slovakia",4,"Europe"
"Germany",4,"Europe"
"Japan",3,"East and Southeast Asia"
"Spain",3,"Europe"
"North Macedonia",3,"Europe"
"Iceland",3,"Europe"
"Czechia",3,"Europe"
"Croatia",3,"Europe"
"United Arab Emirates",3,"Middle East"
"Slovenia",3,"Europe"
"Australia",2,"Australia and Oceania"
"Israel",2,"Middle East"
"Poland",2,"Europe"
"Belarus",1,"Europe"
"Norway",1,"Europe"
"Cook Islands",0,"Australia and Oceania"
